	#SentenceID	Sentence	TF	TG	TF Id	TG Id	TF offset	Gene offset	Mutated Genes	Mutation offsets	Valid score	Valid	MoR scores	MoR	PMID	PMID+Sent+TRI_Id	Mutated_TF	TF Symbol	TF TaxID	TG Symbol	TG TaxID	TF_type	Error
330892	PMID:18499675:pubtator_title_and_abstract:af187987fe30b77b60e549d2ab0e2a64:5:TIP60:p21:426:516	[TF] also negatively regulated the expression of p73beta downstream target genes such as [TG] and Bax.	TIP60	p21	10524	1026	426	516			0.9919973785533028	Valid	0.0016395981600226153;0.0028141281386526414;0.9955462737013248	REPRESSION	18499675	18499675|5|10524|644914	False	KAT5	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
896231	PMID:12235159:pubtator_title_and_abstract:4583587deebfde195762b3ec196a3815:7:hADA3:p21:956:1101	We show that [TF] enhances the RXR(alpha)-mediated sequence-specific transactivation of retinoid target genes, cellular retinoic acid-binding protein II and [TG].	hADA3	p21	10474	1026	956	1101			0.9919954212591052	Valid	0.003886125110469158;0.9946361365160118;0.0014777383735190897	ACTIVATION	12235159	12235159|7|10474|644914	False	TADA3	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
225834	PMID:26197891:pubtator_title_and_abstract:ca45f9f1a939af93486e191786b95bec:7:KLF4:p21:833:883	Further studies showed that [TF] significantly up-regulated the expression of [TG] and down-regulated matrix metalloproteinase (MMP-2 and MMP-9).	KLF4	p21	9314	1026	833	883			0.9919938611411556	Valid	0.0031761067982728035;0.9931064405684041;0.0037174526333230494	ACTIVATION	26197891	26197891|7|9314|644914	False	KLF4	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
31402	PMID:35422483:pubtator_title_and_abstract:d7126936fec826b7648d0c4931457ff6:7:Klf6:p21:1017:1041	Dual-luciferase reporter assay and chromatin immunoprecipitation showed that [TF] directly activates [TG] transcription.	Klf6	p21	23849	12575	1017	1041			0.9919926643414524	Valid	0.003640278595331763;0.9955205774415427;0.000839143963125604	ACTIVATION	35422483	35422483|7|23849|237052	False	Klf6	10090	Cdkn1a	10090	dbTF	p21_to_CDKN1A
942962	PMID:15170665:pubtator_title_and_abstract:ea05eff42d56ac11cad7ccbf82fe8cad:6:HIF-1:p21:844:837	Previous reports have suggested that the regulation of p53 and [TG] is [TF]-dependent.	HIF-1	p21	3091	1026	844	837			0.9919887299379424	Valid	0.9976723857221184;0.0016087850137789534;0.0007188292641028043	UNDEFINED	15170665	15170665|6|3091|644914	False	HIF1A	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
536947	PMID:26221067:pubtator_title_and_abstract:a8f9eb3f7b01b9927c78e5c90e5bf2a2:7:MDC1:p21:920:1001	Knockdown of [TF] reduced the transcription of the endogenous ERalpha target genes, including [TG].	MDC1	p21	9656	1026	920	1001			0.9919818130941104	Valid	0.0019005865125289918;0.9912714908427722;0.006827922644698849	ACTIVATION	26221067	26221067|7|9656|644914	False	MDC1	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
883278	PMID:25531190:pubtator_title_and_abstract:54fe115c4c5a25b96f372f805f24503c:11:ATF3:p21:1358:1381	We found that [TF] regulated p53 and [TG] levels.	ATF3	p21	467	1026	1358	1381			0.99198092365399	Valid	0.9974575649621901;0.0012067210524474745;0.0013357139853623682	UNDEFINED	25531190	25531190|11|467|644914	False	ATF3	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
339243	PMID:17487408:pubtator_title_and_abstract:f317798e83581a6f4cef377ec5e8720b:0:GADD34:p21:0:15	[TF] induces [TG] expression and cellular senescence.	GADD34	p21	17872	114851	0	15			0.9919745999304316	Valid	0.0016899938022879844;0.99714246878328;0.0011675374144320824	ACTIVATION	17487408	17487408|0|17872|24525	False	Ppp1r15a	10090	Cdkn1a	10116	dbTF	p21_to_CDKN1A
678720	PMID:15194793:pubtator_title_and_abstract:99103ab148f2845221abf693f3cec4a6:6:p53:p21:563:593	[TF] induces the expression of [TG] and Mdm2.	p53	p21	7157	1026	563	593			0.9919579844576883	Valid	0.0019435898831323723;0.9971850079495538;0.0008714021673138794	ACTIVATION	15194793	15194793|6|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
221974	PMID:20506188:pubtator_title_and_abstract:27e6632c5948e0c77546252ac6a14c64:5:INI1:p21:649:734	The SWI/SNF subunits BRG1 and [TF] bind in vivo to RUNX1 target gene promoters (e.g., GMCSF, IL3, MCSF-R, MIP, and [TG]).	INI1	p21	6598	1026	649	734			0.9919549959491988	Valid	0.9971422306308094;0.0020792114027911625;0.000778557966399497	UNDEFINED	20506188	20506188|5|6598|644914	False	SMARCB1	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
965138	PMID:24608790:pubtator_title_and_abstract:bd918ffcf61e254a30e6868ef50adae8:9:p53:p21:1146:1179	TP53INP1 mutation at lysine 113 prevents the pro-apoptotic, antiproliferative and antioxidant effects of TP53INP1 by impairing the [TF] response on its target genes [TG], Bax and PUMA.	p53	p21	7157	1026	1146	1179			0.9919337612921594	Valid	0.9694916953189738;0.028776685782837024;0.0017316188981890577	UNDEFINED	24608790	24608790|9|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
105185	PMID:20502500:pubtator_title_and_abstract:210474564956b525d1f3ee0481770416:6:p53:p21:461:543	The transcriptional pathway is an important mechanism through which [TF] induces neuronal apoptosis by up-regulating the expression of its target gene [TG](WAF), Peg3/Pw1 or p53-up-regulated modulator of apoptosis (PUMA).	p53	p21	7157	1026	461	543			0.9919295424312656	Valid	0.009246139303648019;0.9888507844382574;0.0019030762580946456	ACTIVATION	20502500	20502500|6|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
661524	PMID:33583643:pubtator_title_and_abstract:44251000577df537595ace21c709fde4:15:NAP1L4:p21:1225:1254	[TF] knockdown upregulated [TG] and downregulated Slug expression in melanoma cells.	NAP1L4	p21	4676	1026	1225	1254			0.991923967356805	Valid	0.0020178615210586677;0.00661063051355286;0.9913715079653885	REPRESSION	33583643	33583643|15|4676|644914	False	NAP1L4	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
200382	PMID:26044764:pubtator_title_and_abstract:d4e895f7460056d79567e5809301a212:7:p53:p21:819:832	The acetylated [TF] enhanced [TG] and BAX expression and induced apoptosis.	p53	p21	7157	1026	819	832			0.991921686585762	Valid	0.021122472182443515;0.9200510038304075;0.05882652398714904	ACTIVATION	26044764	26044764|7|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
819867	PMID:20368352:pubtator_title_and_abstract:84560aa2e7bba3c93bf928cf8014099d:7:ATDC:p21:716:780	[TF] represses the expression of p53-regulated genes, including [TG] and NOXA.	ATDC	p21	23650	1026	716	780			0.9919143146033548	Valid	0.0014645738950831541;0.002317857186400409;0.9962175689185164	REPRESSION	20368352	20368352|7|23650|644914	False	TRIM29	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
489071	PMID:25934801:pubtator_title_and_abstract:98e1b548fd7033ef8fd02c8f583a3781:8:MDC1:p21:843:981	Moreover, depletion of [TF] results in decreased expression of a subset of the endogenous androgen-induced target genes, including cell cycle negative regulator [TG] and PCa metastasis inhibitor Vinculin, in AR positive PCa cell lines.	MDC1	p21	9656	1026	843	981			0.9919023776298485	Valid	0.0023186680370823223;0.9867020731943869;0.01097925876853077	ACTIVATION	25934801	25934801|8|9656|644914	False	MDC1	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
923739	PMID:31330382:pubtator_title_and_abstract:ab0e680e882610b68949db20c972c1f6:11:Suv39h1:p21:1394:1433	[TF] regulated the transcription of [TG] and p27Kip1 by controlling H3K9me3 in the proximal promoter regions.	Suv39h1	p21	302553	114851	1394	1433			0.991900334079638	Valid	0.9976320709064667;0.0012716884166033289;0.001096240676930114	UNDEFINED	31330382	31330382|11|302553|24525	False	Suv39h1	10116	Cdkn1a	10116	coTF	p21_to_CDKN1A
647407	PMID:16439685:pubtator_title_and_abstract:c857506ef40c6335e7f58b498fd5c8b5:6:p53:p21:762:796	Nutlin-3 stabilized p53 and induced [TF] target genes, including MDM2, [TG](CIP1), PUMA, BAX, PIG3, and WIG1.	p53	p21	7157	1026	762	796			0.9918950686727376	Valid	0.9741785658223551;0.024654919644858084;0.0011665145327868559	UNDEFINED	16439685	16439685|6|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
29109	PMID:21355845:pubtator_title_and_abstract:bc92d5bad71e781eca6582b377557241:6:p53:p21:607:645	We have shown that FAK inhibited activity of [TF] with the transcriptional targets: [TG], Bax and Mdm-2 through protein-protein interactions.	p53	p21	7157	1026	607	645			0.991877097085442	Valid	0.7194815211061516;0.2718086272908776;0.008709851602970787	UNDEFINED	21355845	21355845|6|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
852461	PMID:27553040:pubtator_title_and_abstract:8763cd49b5ed400be0bdcb158f240b75:7:Nurr1:p21:1275:1321	Using chromatin immunoprecipitation assays, luciferase assays, and mutational analysis, we demonstrated that [TF] directly inhibited the transcription of [TG].	Nurr1	p21	4929	114851	1275	1321			0.9918762672060704	Valid	0.0015498083154896064;0.0032119390141254027;0.995238252670385	REPRESSION	27553040	27553040|7|4929|24525	False	NR4A2	9606	Cdkn1a	10116	dbTF	p21_to_CDKN1A
899451	PMID:24283290:pubtator_title_and_abstract:7b8a90a9356d3e3b2951556a6fcf9b7d:6:ERalpha:p21:759:808	Knockdown of [TF] significantly affects PCNA/Ki-67 and p53/[TG] expression.	ERalpha	p21	2099	1026	759	808			0.9918682253182444	Valid	0.9886403759866322;0.005781701894183542;0.0055779221191842015	UNDEFINED	24283290	24283290|6|2099|644914	False	ESR1	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
930457	PMID:15851483:pubtator_title_and_abstract:9c20416aa9a0c2299796a0b1ae9a89d7:5:MLL-AF9:p21:579:673	Our data show that [TF], MLL-AF10, MLL-ENL, and MLL-ELL substantially down-regulate p53-mediated induction of [TG], MDM2, and Bax in response to DNA damage.	MLL-AF9	p21	4297	1026	579	673			0.991861615225224	Valid	0.0020496112295950017;0.004379045055995863;0.9935713437144091	REPRESSION	15851483	15851483|5|4297|644914	False	KMT2A	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
640227	PMID:28161489:pubtator_title_and_abstract:a717b02bcfbdbb6ecfce9c4052344afb:7:FOXO1:p21:907:961	The transcription factor [TF] is activated by dephosphorylation and regulates [TG] expression.	FOXO1	p21	2308	1026	907	961			0.9918604103679244	Valid	0.984047204280292;0.00567594592736687;0.010276849792341045	UNDEFINED	28161489	28161489|7|2308|644914	False	FOXO1	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
323923	PMID:14607978:pubtator_title_and_abstract:16028dd002e601597a1ae5856984c01a:4:p53:p21:529:559	Increased [TF] accumulation up-regulates [TG]/waf and ultimately induces apoptosis.	p53	p21	7157	1026	529	559			0.991857661245392	Valid	0.002159961354590761;0.9962190176801495;0.001621020965259683	ACTIVATION	14607978	14607978|4|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
872919	PMID:23178160:pubtator_title_and_abstract:78fff0c2959713eec0b18b8661753a6b:6:ErbB-2:p21:825:886	Notably, we also found that [TF] nuclear function plays a key role in MPA-induction of [TG](CIP1) expression.	ErbB-2	p21	2064	1026	825	886			0.99185156484436	Valid	0.002697343511913485;0.9964600531869299;0.0008426033011566148	ACTIVATION	23178160	23178160|6|2064|644914	False	ERBB2	9606	CDKN1A	9606	ll_coTF	p21_to_CDKN1A
562357	PMID:24339541:pubtator_title_and_abstract:8f262a1dd28ede18d98f7f7e5e8a46b8:3:P53:p21:333:350	[TF] up regulates [TG] expression in response to deoxyribonucleic acid damage leading to cell cycle arrest at G1 checkpoint.	P53	p21	7157	1026	333	350			0.9918509732622902	Valid	0.0015039962343795785;0.9971094859679257;0.001386517797694639	ACTIVATION	24339541	24339541|3|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
926435	PMID:11514554:pubtator_title_and_abstract:74869c79fb314d7b24d4d90857853979:6:SOX9:p21:530:544	[TF] enhanced [TG](cip1) promoter activity in a luciferase reporter assay.	SOX9	p21	140586	114851	530	544			0.9918509327942078	Valid	0.0019280034797104517;0.997059758563316;0.0010122379569735991	ACTIVATION	11514554	11514554|6|140586|24525	False	Sox9	10116	Cdkn1a	10116	dbTF	p21_to_CDKN1A
135797	PMID:24983498:pubtator_title_and_abstract:97a20a9b76b3c44f05d4c45bb140e64f:5:TAF-Ibeta:p21:468:550	SET/[TF] interacted with FoxO1 and activated transcription of FoxO1 target gene, [TG].	TAF-Ibeta	p21	6418	1026	468	550			0.9918461426635872	Valid	0.0064234131024596105;0.9926288155600262;0.0009477713375141889	ACTIVATION	24983498	24983498|5|6418|644914	False	SET	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
576718	PMID:23431171:pubtator_title_and_abstract:23d135cded8f890c732dc904e71e3414:3:MOZ:p21:380:471	We previously reported that [TF] directly interacts with p53 and is essential for p53-dependent selective regulation of [TG] expression.	MOZ	p21	7994	1026	380	471			0.9918441255401826	Valid	0.9972295090836897;0.0017689511717788556;0.0010015397445313936	UNDEFINED	23431171	23431171|3|7994|644914	False	KAT6A	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
423198	PMID:19830706:pubtator_title_and_abstract:5e6878159db7a8de41e2ad16ee98f457:10:PDEF:p21:1323:1266	Furthermore, chromatin immunoprecipitation studies show that [TG] and urokinase plasminogen activator (uPA) are direct [TF] transcriptional targets.	PDEF	p21	25803	1026	1323	1266			0.9918320935250682	Valid	0.9978417934291187;0.00138557080005095;0.000772635770830283	UNDEFINED	19830706	19830706|10|25803|644914	False	SPDEF	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
665895	PMID:19996304:pubtator_title_and_abstract:1602f14b9432e38e18c2b94c59a2b2df:10:p53:p21:1262:1267	The downstream targets of [TF], [TG], GADD45A, and 14-3-3sigma, were also upregulated.	p53	p21	7157	1026	1262	1267			0.9918307317228756	Valid	0.1521687666905063;0.8437862927748504;0.004044940534643351	ACTIVATION	19996304	19996304|10|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
449009	PMID:31918717:pubtator_title_and_abstract:8e45fb1bc2e8cfe8c1da6f620a15e5da:8:STAT1:p21:1284:1311	The dominant-negative mutant constructs, TAM67 and STAT1 Y701F, were employed to define the roles of c-Jun and [TF] in the regulation of [TG] protein.	STAT1	p21	6772	1026	1284	1311	6772	1230	0.9918272924117214	Valid	0.9976382069892695;0.0014449705110029653;0.0009168224997275093	UNDEFINED	31918717	31918717|8|6772|644914	True	STAT1	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
306533	PMID:27650540:pubtator_title_and_abstract:c00d767c3f7ad98d8ca2b78e70fb9256:6:ID3:p21:650:709	[TF] was identified to be the mediator of the MB109-induced [TG] expression.	ID3	p21	3399	1026	650	709			0.991823165276288	Valid	0.004983630422712331;0.994094106916438;0.0009222626608497737	ACTIVATION	27650540	27650540|6|3399|644914	False	ID3	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
736848	PMID:19232372:pubtator_title_and_abstract:f182bbab5aecf5a0717841f1723fabd1:8:ZBP-89:p21:1024:1060	In addition, [TF] over-expression up-regulated [TG] and Rb while promoting the down-regulation of cyclinA and cyclinD1.	ZBP-89	p21	22661	12575	1024	1060			0.9918192778874484	Valid	0.0029045142598874934;0.9938680018550278;0.0032274838850846798	ACTIVATION	19232372	19232372|8|22661|237052	False	Zfp148	10090	Cdkn1a	10090	dbTF	p21_to_CDKN1A
217402	PMID:36364182:pubtator_title_and_abstract:3a5fc5da3257fde922e3756cf7099511:9:p53:p21:1110:1152	An increased [TF] in response to DNA damage upregulates [TG], Bax, and PTEN.	p53	p21	7157	1026	1110	1152			0.9918115866798436	Valid	0.0018997578770636563;0.9970822538324425;0.0010179882904938298	ACTIVATION	36364182	36364182|9|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
448507	PMID:28367100:pubtator_title_and_abstract:c11438733c7e800a5baa233b4a23b604:13:PADI4:p21:1435:1452	[TF] suppresses [TG] transcription through altering histone H3 arginine modifications on p21 promoter region.	PADI4	p21	23569	1026	1435	1452			0.991809276370011	Valid	0.001485216954633184;0.0031038172679824774;0.9954109657773843	REPRESSION	28367100	28367100|13|23569|644914	False	PADI4	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
666002	PMID:20890119:pubtator_title_and_abstract:bdd8e84df8b443a03d611c2c0290ec69:0:ING2:p21:0:57	[TF] controls the G1 to S-phase transition by regulating [TG] expression.	ING2	p21	3622	1026	0	57			0.9918060431752626	Valid	0.9969664960082713;0.0013532857057641093;0.00168021828596464	UNDEFINED	20890119	20890119|0|3622|644914	False	ING2	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
552844	PMID:17403783:pubtator_title_and_abstract:258fe5ec01219821eeca4cc80f5158b6:5:Bat3:p21:494:601	Depletion of [TF] from human and mouse cells markedly impairs p53-mediated transactivation of its target genes Puma and [TG].	Bat3	p21	7917	1026	494	601			0.9918017386805266	Valid	0.0014858756306520293;0.9956727005990691;0.0028414237702789353	ACTIVATION	17403783	17403783|5|7917|644914	False	BAG6	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
108603	PMID:31842349:pubtator_title_and_abstract:f08854416902fc63a10aa149f5ad5a2e:11:p53:p21:1354:1413	Furthermore, [TF] induced the expression of its downstream target genes, [TG] and Sesn2, in response to ROS induced by palmitic acid.	p53	p21	7157	1026	1354	1413			0.9918008507570906	Valid	0.005705784797686888;0.99355605684872;0.0007381583535930688	ACTIVATION	31842349	31842349|11|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
201026	PMID:36425530:pubtator_title_and_abstract:3a98e3e0e0175331c73dc34f437fccfd:5:ING5:p21:663:789	[TF] promotes the autoacetylation of HAT p300, p53, histone H3 and H4 for the transcription of downstream genes (Bax, GADD45, [TG], p27 and so forth).	ING5	p21	84289	1026	663	789			0.991782341657522	Valid	0.6168723385029907;0.3126057731615322;0.07052188833547715	UNDEFINED	36425530	36425530|5|84289|644914	False	ING5	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
66951	PMID:29410485:pubtator_title_and_abstract:678bbef2824043b87a6269253d68b54e:6:ATG5:p21:738:800	Genetic downregulation of key autophagy protein [TF] abolished QC-mediated effects on both cell cycle protein [TG]/Skp2 as well as autophagic cargo protein p62.	ATG5	p21	9474	1026	738	800			0.9917818267088812	Valid	0.7696257583272877;0.2212810645499665;0.009093177122745773	UNDEFINED	29410485	29410485|6|9474|644914	False	ATG5	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
766797	PMID:28882572:pubtator_title_and_abstract:de8bbb2d61fb9cf25d9fe2a3c637698c:9:p53:p21:1307:1274	Expression of the cell cycle inhibitor [TG] was profoundly impaired upon [TF] knock-down.	p53	p21	7157	1026	1307	1274			0.9917803885696356	Valid	0.0025966609581243192;0.9871645882234878;0.010238750818387723	ACTIVATION	28882572	28882572|9|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
124547	PMID:17878219:pubtator_title_and_abstract:fdec35a1c2ad296dc7812e54cb2a05b3:0:BAF53:p21:0:55	[TF] interacts with p53 and functions in p53-mediated [TG]-gene transcription.	BAF53	p21	86	1026	0	55			0.9917799240362092	Valid	0.04557429362514073;0.9496545721553301;0.00477113421952907	ACTIVATION	17878219	17878219|0|86|644914	False	ACTL6A	9606	CDKN1A	9606	ll_coTF	p21_to_CDKN1A
942894	PMID:22814619:pubtator_title_and_abstract:20d6c655ac3fc205bbb66fa20d6769af:6:CITED2:p21:896:974	Moreover, [TF] inhibited cellular quiescence by enhancing MYC-mediated suppression of [TG](CIP1).	CITED2	p21	10370	1026	896	974			0.9917767843517346	Valid	0.034859070063094195;0.17167345835251255;0.7934674715843933	REPRESSION	22814619	22814619|6|10370|644914	False	CITED2	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
1135616	PMID:17339230:pubtator_title_and_abstract:6f6bb52f17350f3d50cbdf734b8ffdb5:4:c-Abl:p21:396:423	In this study, we investigated the functions of [TF] in the activation of [TG] promoter.	c-Abl	p21	25	1026	396	423			0.9917710773864454	Valid	0.0064716916959289585;0.9925854846669682;0.000942823637102963	ACTIVATION	17339230	17339230|4|25|644914	False	ABL1	9606	CDKN1A	9606	ll_coTF	p21_to_CDKN1A
