Gene ID	TF type	Symbol	TaxID	GO:0003700	GO:0003712	GO:0001098	GO:0002039	GO:0008134	GO:0042393	GO:0046332	GO:0006325	GO:0140993	GO:0006355	lambert_2018.present	Lovering_2021.present	animal_tfdb_Homo_sapiens_cofactors.present	animal_tfdb_Mus_musculus_cofactors.present	animal_tfdb_Rattus_norvegicus_cofactors.present	tcof_cotf_human.present	tcof_cotf_mouse.present	TFclass_human	TFclass_mouse	TFclass_rat	updated TF type	In ExTRI	human_gene_ID	human_symbol	hgnc_id
11622	dbTF	Ahr	10090	GO:0000981;GO:0003700;GO:0004879				GO:0017162					GO:0000122;GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045895;GO:0045899;GO:0045944									TFclass_mouse.present		dbTF	True	196	AHR	HGNC:348
25690	dbTF	Ahr	10116	GO:0000981;GO:0003700;GO:0004879		GO:0001094		GO:0001094;GO:0001223;GO:0017025;GO:0017162;GO:0061629					GO:0000122;GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045895;GO:0045899;GO:0045944										TFclass_rat.present	dbTF	True	196	AHR	HGNC:348
196	dbTF	AHR	9606	GO:0000981;GO:0003700;GO:0004879		GO:0001094		GO:0001094;GO:0001223;GO:0017025;GO:0061629					GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	196	AHR	HGNC:348
11624	dbTF	Ahrr	10090	GO:0004879									GO:0000122;GO:0004879;GO:0006355;GO:0006357;GO:0045892									TFclass_mouse.present		dbTF	True	57491	AHRR	HGNC:346
57491	dbTF	AHRR	9606	GO:0000981;GO:0004879									GO:0000981;GO:0004879;GO:0006355;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	57491	AHRR	HGNC:346
11634	dbTF	Aire	10090						GO:0042393				GO:0006355;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	True	326	AIRE	HGNC:360
294328	dbTF	Aire	10116																				TFclass_rat.present	dbTF	True	326	AIRE	HGNC:360
326	dbTF	AIRE	9606						GO:0042393				GO:0006355;GO:0045893;GO:0045944	lambert_2018							TFclass_human.present			dbTF	True	326	AIRE	HGNC:360
10270	dbTF	AKAP8	9606					GO:0051059						lambert_2018										dbTF	True	10270	AKAP8	HGNC:378
26993	dbTF	AKAP8L	9606										GO:0045944	lambert_2018										dbTF	True	26993	AKAP8L	HGNC:29857
80709	dbTF	AKNA	9606										GO:0045944	lambert_2018										dbTF	True	80709	AKNA	HGNC:24108
216285	dbTF	Alx1	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0045892;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	True	8092	ALX1	HGNC:1494
8092	dbTF	ALX1	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0045892;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	8092	ALX1	HGNC:1494
11694	dbTF	Alx3	10090	GO:0000981;GO:0003700									GO:0000981;GO:0003700;GO:0006355;GO:0006357									TFclass_mouse.present		dbTF	True	257	ALX3	HGNC:449
365900	dbTF	Alx3	10116																				TFclass_rat.present	dbTF	True	257	ALX3	HGNC:449
257	dbTF	ALX3	9606	GO:0000981									GO:0000981;GO:0006355;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	257	ALX3	HGNC:449
11695	dbTF	Alx4	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	60529	ALX4	HGNC:450
60529	dbTF	ALX4	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	60529	ALX4	HGNC:450
647589	dbTF	ANHX	9606	GO:0000981									GO:0000981;GO:0006355;GO:0006357	lambert_2018	Lovering_2021									dbTF	True	647589	ANHX	HGNC:40024
55139	dbTF	ANKZF1	9606											lambert_2018										dbTF	True	55139	ANKZF1	HGNC:25527
11835	dbTF	Ar	10090	GO:0001228;GO:0003700;GO:0003707;GO:0004879		GO:0001091		GO:0001091;GO:0001223;GO:0061629					GO:0000122;GO:0001228;GO:0003700;GO:0003707;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944;GO:0045945;GO:1902895									TFclass_mouse.present		dbTF	True	367	AR	HGNC:644
24208	dbTF	Ar	10116	GO:0001228;GO:0003700;GO:0003707;GO:0004879		GO:0001091		GO:0001091;GO:0001223;GO:0050681;GO:0061629					GO:0000122;GO:0001228;GO:0003700;GO:0003707;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944;GO:0045945;GO:1902895										TFclass_rat.present	dbTF	True	367	AR	HGNC:644
367	dbTF	AR	9606	GO:0000981;GO:0001228;GO:0003700;GO:0003707;GO:0004879		GO:0001091		GO:0001091;GO:0001223;GO:0061629					GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0003707;GO:0004879;GO:0006355;GO:0006357;GO:0045893;GO:0045944;GO:0045945;GO:1902895	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	367	AR	HGNC:644
503582	dbTF	ARGFX	9606	GO:0000981									GO:0000981;GO:0006355;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	503582	ARGFX	HGNC:30146
2909	dbTF	ARHGAP35	9606											lambert_2018		animal_tfdb_Homo_sapiens_cofactors								dbTF	True	2909	ARHGAP35	HGNC:4591
93760	dbTF	Arid1a	10090								GO:0006325;GO:0006338;GO:0140658		GO:0000122;GO:0006357;GO:0045893									TFclass_mouse.present		dbTF	True	8289	ARID1A	HGNC:11110
8289	dbTF	ARID1A	9606		GO:0003713			GO:0016922			GO:0006325;GO:0006337;GO:0006338;GO:0045815		GO:0003713;GO:0006357;GO:0045893								TFclass_human.present			dbTF	True	8289	ARID1A	HGNC:11110
239985	dbTF	Arid1b	10090								GO:0006325;GO:0006338		GO:0006357;GO:0045893									TFclass_mouse.present		dbTF	True	57492	ARID1B	HGNC:18040
57492	dbTF	ARID1B	9606		GO:0003713						GO:0006325;GO:0006338;GO:0045815		GO:0003713;GO:0006357;GO:0045893								TFclass_human.present			dbTF	True	57492	ARID1B	HGNC:18040
77044	dbTF	Arid2	10090								GO:0006325;GO:0006337;GO:0006338		GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	196528	ARID2	HGNC:18037
196528	dbTF	ARID2	9606								GO:0006325;GO:0006337;GO:0006338		GO:0006355;GO:0006357	lambert_2018							TFclass_human.present			dbTF	True	196528	ARID2	HGNC:18037
13496	dbTF	Arid3a	10090		GO:0003712								GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	1820	ARID3A	HGNC:3031
1820	dbTF	ARID3A	9606		GO:0003712								GO:0006355;GO:0006357;GO:0045944	lambert_2018							TFclass_human.present			dbTF	True	1820	ARID3A	HGNC:3031
56380	dbTF	Arid3b	10090										GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	10620	ARID3B	HGNC:14350
10620	dbTF	ARID3B	9606										GO:0006357;GO:0045944	lambert_2018							TFclass_human.present			dbTF	True	10620	ARID3B	HGNC:14350
138715	dbTF	ARID3C	9606	GO:0000981									GO:0000981;GO:0006357;GO:0045944	lambert_2018							TFclass_human.present			dbTF	True	138715	ARID3C	HGNC:21209
238247	dbTF	Arid4a	10090								GO:0006325;GO:0071514		GO:0000122;GO:0006355;GO:0006357;GO:0045892;GO:0045944									TFclass_mouse.present		dbTF	True	5926	ARID4A	HGNC:9885
5926	dbTF	ARID4A	9606								GO:0006325;GO:0071514		GO:0000122;GO:0006355;GO:0006357;GO:0045892;GO:0045944								TFclass_human.present			dbTF	True	5926	ARID4A	HGNC:9885
94246	dbTF	Arid4b	10090								GO:0006325;GO:0071514		GO:0000122;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	51742	ARID4B	HGNC:15550
51742	dbTF	ARID4B	9606								GO:0006325;GO:0071514		GO:0000122;GO:0006357;GO:0045944								TFclass_human.present			dbTF	True	51742	ARID4B	HGNC:15550
214855	dbTF	Arid5a	10090		GO:0003714			GO:0030331;GO:0046965;GO:0046966;GO:0050681					GO:0000122;GO:0003714;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	10865	ARID5A	HGNC:17361
10865	dbTF	ARID5A	9606		GO:0003714			GO:0008134;GO:0030331;GO:0046965;GO:0046966;GO:0050681					GO:0000122;GO:0003714;GO:0006357;GO:0045892;GO:0045944	lambert_2018							TFclass_human.present			dbTF	True	10865	ARID5A	HGNC:17361
71371	dbTF	Arid5b	10090		GO:0003713								GO:0000122;GO:0003713;GO:0006357;GO:0045893									TFclass_mouse.present		dbTF	True	84159	ARID5B	HGNC:17362
84159	dbTF	ARID5B	9606		GO:0003713								GO:0000122;GO:0003713;GO:0006357;GO:0045892;GO:0045893;GO:0051091	lambert_2018							TFclass_human.present			dbTF	True	84159	ARID5B	HGNC:17362
11863	dbTF	Arnt	10090	GO:0000981;GO:0003700;GO:0004879				GO:0017162;GO:0061629					GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	True	405	ARNT	HGNC:700
25242	dbTF	Arnt	10116	GO:0000981;GO:0003700;GO:0004879				GO:0017162;GO:0061629					GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045893;GO:0045944										TFclass_rat.present	dbTF	True	405	ARNT	HGNC:700
405	dbTF	ARNT	9606	GO:0000981;GO:0003700;GO:0004879				GO:0017162;GO:0061629					GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	405	ARNT	HGNC:700
11864	dbTF	Arnt2	10090	GO:0000981;GO:0001228;GO:0003700				GO:0017162					GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	True	9915	ARNT2	HGNC:16876
25243	dbTF	Arnt2	10116	GO:0000981;GO:0001228;GO:0003700				GO:0017162					GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045944										TFclass_rat.present	dbTF	True	9915	ARNT2	HGNC:16876
9915	dbTF	ARNT2	9606	GO:0000981;GO:0001228;GO:0003700				GO:0017162					GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	9915	ARNT2	HGNC:16876
11878	dbTF	Arx	10090	GO:0000981;GO:0001227;GO:0001228									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	170302	ARX	HGNC:18060
170302	dbTF	ARX	9606	GO:0000981;GO:0001227;GO:0001228									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	170302	ARX	HGNC:18060
17172	dbTF	Ascl1	10090	GO:0000981;GO:0001227;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006357;GO:0045892;GO:0045944									TFclass_mouse.present		dbTF	True	429	ASCL1	HGNC:738
64186	dbTF	Ascl1	10116	GO:0000981;GO:0001227;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006357;GO:0045892;GO:0045944										TFclass_rat.present	dbTF	True	429	ASCL1	HGNC:738
429	dbTF	ASCL1	9606	GO:0000981;GO:0001227;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006357;GO:0045892;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	429	ASCL1	HGNC:738
17173	dbTF	Ascl2	10090	GO:0000981;GO:0001227;GO:0001228;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	430	ASCL2	HGNC:739
24209	dbTF	Ascl2	10116	GO:0000981;GO:0001227;GO:0001228;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006357;GO:0045944										TFclass_rat.present	dbTF	True	430	ASCL2	HGNC:739
430	dbTF	ASCL2	9606	GO:0000981;GO:0001227;GO:0001228;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	430	ASCL2	HGNC:739
56676	dbTF	ASCL3	9606	GO:0000981;GO:0001227									GO:0000122;GO:0000981;GO:0001227;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	56676	ASCL3	HGNC:740
67341	dbTF	Ascl4	10090																			TFclass_mouse.present		dbTF	True	121549	ASCL4	HGNC:24311
121549	dbTF	ASCL4	9606	GO:0000981;GO:0001227									GO:0000122;GO:0000981;GO:0001227;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	121549	ASCL4	HGNC:24311
55870	dbTF	ASH1L	9606								GO:0006325;GO:0006338;GO:0042054;GO:0042800;GO:0046974;GO:0046975;GO:0140938;GO:0140947;GO:0140948;GO:0140955	GO:0042054;GO:0042800;GO:0046974;GO:0046975;GO:0140938;GO:0140947;GO:0140948;GO:0140955	GO:0006355;GO:0045944	lambert_2018		animal_tfdb_Homo_sapiens_cofactors								dbTF	True	55870	ASH1L	HGNC:19088
11908	dbTF	Atf1	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	466	ATF1	HGNC:783
315305	dbTF	Atf1	10116																				TFclass_rat.present	dbTF	True	466	ATF1	HGNC:783
466	dbTF	ATF1	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	466	ATF1	HGNC:783
11909	dbTF	Atf2	10090	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629			GO:0010485;GO:0044013;GO:0045815	GO:0010485;GO:0044013	GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0051091									TFclass_mouse.present		dbTF	True	1386	ATF2	HGNC:784
81647	dbTF	Atf2	10116	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629			GO:0010485;GO:0044013;GO:0045815	GO:0010485;GO:0044013	GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0051091										TFclass_rat.present	dbTF	True	1386	ATF2	HGNC:784
1386	dbTF	ATF2	9606	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629			GO:0004402;GO:0010485;GO:0044013;GO:0045815	GO:0004402;GO:0010485;GO:0044013	GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0051091	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	1386	ATF2	HGNC:784
11910	dbTF	Atf3	10090	GO:0000981;GO:0001227;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045944									TFclass_mouse.present		dbTF	True	467	ATF3	HGNC:785
25389	dbTF	Atf3	10116	GO:0000981;GO:0001227;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045944										TFclass_rat.present	dbTF	True	467	ATF3	HGNC:785
467	dbTF	ATF3	9606	GO:0000981;GO:0001227;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	467	ATF3	HGNC:785
11911	dbTF	Atf4	10090	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629;GO:0140296;GO:0140297					GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045943;GO:0045944									TFclass_mouse.present		dbTF	True	468	ATF4	HGNC:786
79255	dbTF	Atf4	10116	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629;GO:0140296;GO:0140297					GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045943;GO:0045944										TFclass_rat.present	dbTF	True	468	ATF4	HGNC:786
468	dbTF	ATF4	9606	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629;GO:0140296;GO:0140297					GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045943;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	468	ATF4	HGNC:786
107503	dbTF	Atf5	10090	GO:0001228;GO:0003700									GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	True	22809	ATF5	HGNC:790
282840	dbTF	Atf5	10116	GO:0001228;GO:0003700									GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944										TFclass_rat.present	dbTF	True	22809	ATF5	HGNC:790
22809	dbTF	ATF5	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	22809	ATF5	HGNC:790
226641	dbTF	Atf6	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	22926	ATF6	HGNC:791
304962	dbTF	Atf6	10116	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944										TFclass_rat.present	dbTF	True	22926	ATF6	HGNC:791
22926	dbTF	ATF6	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	22926	ATF6	HGNC:791
12915	dbTF	Atf6b	10090	GO:0000981;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	1388	ATF6B	HGNC:2349
406169	dbTF	Atf6b	10116																				TFclass_rat.present	dbTF	True	1388	ATF6B	HGNC:2349
1388	dbTF	ATF6B	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	1388	ATF6B	HGNC:2349
223922	dbTF	Atf7	10090	GO:0000981;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	11016	ATF7	HGNC:792
11016	dbTF	ATF7	9606	GO:0000981;GO:0003700				GO:0001223					GO:0000981;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	11016	ATF7	HGNC:792
234776	dbTF	Atmin	10090	GO:0000981;GO:0001228									GO:0000981;GO:0001228;GO:0006357;GO:0045893;GO:0045944											dbTF	True	23300	ATMIN	HGNC:29034
23300	dbTF	ATMIN	9606	GO:0000981;GO:0001228									GO:0000981;GO:0001228;GO:0006357;GO:0045893;GO:0045944	lambert_2018	Lovering_2021									dbTF	True	23300	ATMIN	HGNC:29034
11921	dbTF	Atoh1	10090	GO:0000981;GO:0001228									GO:0000981;GO:0001228;GO:0045944									TFclass_mouse.present		dbTF	True	474	ATOH1	HGNC:797
500156	dbTF	Atoh1	10116																				TFclass_rat.present	dbTF	True	474	ATOH1	HGNC:797
474	dbTF	ATOH1	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	474	ATOH1	HGNC:797
53404	dbTF	Atoh7	10090	GO:0000981									GO:0000981;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	220202	ATOH7	HGNC:13907
365564	dbTF	Atoh7	10116																				TFclass_rat.present	dbTF	True	220202	ATOH7	HGNC:13907
220202	dbTF	ATOH7	9606	GO:0000981									GO:0000981;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	220202	ATOH7	HGNC:13907
71093	dbTF	Atoh8	10090	GO:0003700				GO:0008134;GO:0140297					GO:0003700;GO:0045892;GO:0045893;GO:0045944;GO:1902895									TFclass_mouse.present		dbTF	True	84913	ATOH8	HGNC:24126
84913	dbTF	ATOH8	9606	GO:0000981;GO:0003700				GO:0140297					GO:0000981;GO:0003700;GO:0045892;GO:0045893;GO:0045944;GO:1902895	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	84913	ATOH8	HGNC:24126
22589	dbTF	Atrx	10090						GO:0042393		GO:0006325;GO:0006334;GO:0006338;GO:0031509;GO:0062072		GO:0045944				animal_tfdb_Mus_musculus_cofactors					TFclass_mouse.present		dbTF	True	546	ATRX	HGNC:886
246284	dbTF	Atrx	10116						GO:0042393		GO:0006325;GO:0006334;GO:0006338;GO:0031509;GO:0062072		GO:0045944					animal_tfdb_Rattus_norvegicus_cofactors					TFclass_rat.present	dbTF	True	546	ATRX	HGNC:886
546	dbTF	ATRX	9606						GO:0042393		GO:0006325;GO:0006334;GO:0006338;GO:0031509;GO:0062072		GO:0006355;GO:0045944			animal_tfdb_Homo_sapiens_cofactors					TFclass_human.present			dbTF	True	546	ATRX	HGNC:886
12013	dbTF	Bach1	10090	GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0098531									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0098531									TFclass_mouse.present		dbTF	True	571	BACH1	HGNC:935
304127	dbTF	Bach1	10116																				TFclass_rat.present	dbTF	True	571	BACH1	HGNC:935
571	dbTF	BACH1	9606	GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0098531									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0098531	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	571	BACH1	HGNC:935
12014	dbTF	Bach2	10090	GO:0000981;GO:0001227;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006355;GO:0006357											dbTF	True	60468	BACH2	HGNC:14078
60468	dbTF	BACH2	9606	GO:0000981;GO:0001227;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006355;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	60468	BACH2	HGNC:14078
54422	dbTF	Barhl1	10090	GO:0000981;GO:0001228									GO:0000981;GO:0001228;GO:0006355;GO:0006357;GO:0045944											dbTF	True	56751	BARHL1	HGNC:953
56751	dbTF	BARHL1	9606	GO:0000981;GO:0001228									GO:0000981;GO:0001228;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	56751	BARHL1	HGNC:953
104382	dbTF	Barhl2	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	True	343472	BARHL2	HGNC:954
343472	dbTF	BARHL2	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	343472	BARHL2	HGNC:954
12022	dbTF	Barx1	10090	GO:0000981									GO:0000981;GO:0006355;GO:0006357									TFclass_mouse.present		dbTF	True	56033	BARX1	HGNC:955
56033	dbTF	BARX1	9606	GO:0000981;GO:0003700									GO:0000981;GO:0003700;GO:0006355;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	56033	BARX1	HGNC:955
