Gene ID	Symbol	TaxID	GO:0003700	GO:0003712	GO:0001098	GO:0002039	GO:0008134	GO:0042393	GO:0046332	GO:0006325	GO:0140993	GO:0006355	lambert_2018.present	Lovering_2021.present	animal_tfdb_Homo_sapiens_cofactors.present	animal_tfdb_Mus_musculus_cofactors.present	animal_tfdb_Rattus_norvegicus_cofactors.present	tcof_cotf_human.present	tcof_cotf_mouse.present	TFclass_human	TFclass_mouse	TFclass_rat	TF type	human_entrez_gene	hgnc_id	human_symbol
25909	AHCTF1	9606											lambert_2018										dbTF	25909	HGNC:24618	AHCTF1
27245	AHDC1	9606	GO:0003700									GO:0003700;GO:0006355	lambert_2018										dbTF	27245	HGNC:25230	AHDC1
11622	Ahr	10090	GO:0000981;GO:0003700;GO:0004879				GO:0017162					GO:0000122;GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045895;GO:0045899;GO:0045944									TFclass_mouse.present		dbTF	196	HGNC:348	AHR
25690	Ahr	10116	GO:0000981;GO:0003700;GO:0004879		GO:0001094		GO:0001094;GO:0001223;GO:0017025;GO:0017162;GO:0061629					GO:0000122;GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045895;GO:0045899;GO:0045944										TFclass_rat.present	dbTF	196	HGNC:348	AHR
196	AHR	9606	GO:0000981;GO:0003700;GO:0004879		GO:0001094		GO:0001094;GO:0001223;GO:0017025;GO:0061629					GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	196	HGNC:348	AHR
11624	Ahrr	10090	GO:0004879									GO:0000122;GO:0004879;GO:0006355;GO:0006357;GO:0045892									TFclass_mouse.present		dbTF	57491	HGNC:346	AHRR
498999	Ahrr	10116	GO:0004879									GO:0000122;GO:0004879;GO:0006355;GO:0006357;GO:0045892										TFclass_rat.present	dbTF	57491	HGNC:346	AHRR
57491	AHRR	9606	GO:0000981;GO:0004879									GO:0000981;GO:0004879;GO:0006355;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	57491	HGNC:346	AHRR
11634	Aire	10090						GO:0042393				GO:0006355;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	326	HGNC:360	AIRE
294328	Aire	10116																				TFclass_rat.present	dbTF	326	HGNC:360	AIRE
326	AIRE	9606						GO:0042393				GO:0006355;GO:0045893;GO:0045944	lambert_2018							TFclass_human.present			dbTF	326	HGNC:360	AIRE
685072	Rarg	10116																				TFclass_rat.present	dbTF	9465;5916	HGNC:377;HGNC:9866	AKAP7;RARG
10270	AKAP8	9606					GO:0051059						lambert_2018										dbTF	10270	HGNC:378	AKAP8
26993	AKAP8L	9606										GO:0045944	lambert_2018										dbTF	26993	HGNC:29857	AKAP8L
80709	AKNA	9606										GO:0045944	lambert_2018										dbTF	80709	HGNC:24108	AKNA
216285	Alx1	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0045892;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	8092	HGNC:1494	ALX1
8092	ALX1	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0045892;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	8092	HGNC:1494	ALX1
257	ALX3	9606	GO:0000981									GO:0000981;GO:0006355;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	257	HGNC:449	ALX3
13984	Esx1	10090																			TFclass_mouse.present		dbTF	257;80712;84528;727940	HGNC:449;HGNC:14865;HGNC:30011;HGNC:33519	ALX3;ESX1;RHOXF2;RHOXF2B
11694	Alx3	10090	GO:0000981;GO:0003700									GO:0000981;GO:0003700;GO:0006355;GO:0006357									TFclass_mouse.present		dbTF	257;84528;727940	HGNC:449;HGNC:30011;HGNC:33519	ALX3;RHOXF2;RHOXF2B
365900	Alx3	10116																				TFclass_rat.present	dbTF	257;84528;727940	HGNC:449;HGNC:30011;HGNC:33519	ALX3;RHOXF2;RHOXF2B
11695	Alx4	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	60529	HGNC:450	ALX4
60529	ALX4	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	60529	HGNC:450	ALX4
11835	Ar	10090	GO:0001228;GO:0003700;GO:0003707;GO:0004879		GO:0001091		GO:0001091;GO:0001223;GO:0061629					GO:0000122;GO:0001228;GO:0003700;GO:0003707;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944;GO:0045945;GO:1902895									TFclass_mouse.present		dbTF	367	HGNC:644	AR
24208	Ar	10116	GO:0001228;GO:0003700;GO:0003707;GO:0004879		GO:0001091		GO:0001091;GO:0001223;GO:0050681;GO:0061629					GO:0000122;GO:0001228;GO:0003700;GO:0003707;GO:0004879;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944;GO:0045945;GO:1902895										TFclass_rat.present	dbTF	367	HGNC:644	AR
367	AR	9606	GO:0000981;GO:0001228;GO:0003700;GO:0003707;GO:0004879		GO:0001091		GO:0001091;GO:0001223;GO:0061629					GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0003707;GO:0004879;GO:0006355;GO:0006357;GO:0045893;GO:0045944;GO:0045945;GO:1902895	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	367	HGNC:644	AR
69710	Arap1	10090	GO:0003700				GO:0061629		GO:0070412			GO:0003700;GO:0045893											dbTF	116985;116984;64411	HGNC:16925;HGNC:16924;HGNC:24097	ARAP1;ARAP2;ARAP3
12951	Crx	10090	GO:0000981;GO:0001216;GO:0001228;GO:0003700				GO:0016922;GO:0061629					GO:0000981;GO:0001216;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	503582;1406	HGNC:30146;HGNC:2383	ARGFX;CRX
60446	Crx	10116																				TFclass_rat.present	dbTF	503582;1406	HGNC:30146;HGNC:2383	ARGFX;CRX
18423	Otx1	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	503582;5013	HGNC:30146;HGNC:8521	ARGFX;OTX1
18424	Otx2	10090	GO:0000981;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	503582;5015;284355	HGNC:30146;HGNC:8522;HGNC:32174	ARGFX;OTX2;TPRX1
2909	ARHGAP35	9606											lambert_2018		animal_tfdb_Homo_sapiens_cofactors								dbTF	2909	HGNC:4591	ARHGAP35
8289	ARID1A	9606		GO:0003713			GO:0016922			GO:0006325;GO:0006337;GO:0006338;GO:0045815		GO:0003713;GO:0006357;GO:0045893								TFclass_human.present			dbTF	8289	HGNC:11110	ARID1A
93760	Arid1a	10090								GO:0006325;GO:0006338;GO:0140658		GO:0000122;GO:0006357;GO:0045893									TFclass_mouse.present		dbTF	8289;57492	HGNC:11110;HGNC:18040	ARID1A;ARID1B
239985	Arid1b	10090								GO:0006325;GO:0006338		GO:0006357;GO:0045893									TFclass_mouse.present		dbTF	8289;57492	HGNC:11110;HGNC:18040	ARID1A;ARID1B
57492	ARID1B	9606		GO:0003713						GO:0006325;GO:0006338;GO:0045815		GO:0003713;GO:0006357;GO:0045893								TFclass_human.present			dbTF	57492	HGNC:18040	ARID1B
77044	Arid2	10090								GO:0006325;GO:0006337;GO:0006338		GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	196528	HGNC:18037	ARID2
196528	ARID2	9606								GO:0006325;GO:0006337;GO:0006338		GO:0006355;GO:0006357	lambert_2018							TFclass_human.present			dbTF	196528	HGNC:18037	ARID2
13496	Arid3a	10090		GO:0003712								GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	1820	HGNC:3031	ARID3A
1820	ARID3A	9606		GO:0003712								GO:0006355;GO:0006357;GO:0045944	lambert_2018							TFclass_human.present			dbTF	1820	HGNC:3031	ARID3A
56380	Arid3b	10090										GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	10620	HGNC:14350	ARID3B
10620	ARID3B	9606										GO:0006357;GO:0045944	lambert_2018							TFclass_human.present			dbTF	10620	HGNC:14350	ARID3B
138715	ARID3C	9606	GO:0000981									GO:0000981;GO:0006357;GO:0045944	lambert_2018							TFclass_human.present			dbTF	138715	HGNC:21209	ARID3C
238247	Arid4a	10090								GO:0006325;GO:0071514		GO:0000122;GO:0006355;GO:0006357;GO:0045892;GO:0045944									TFclass_mouse.present		dbTF	5926	HGNC:9885	ARID4A
94246	Arid4b	10090								GO:0006325;GO:0071514		GO:0000122;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	51742	HGNC:15550	ARID4B
51742	ARID4B	9606								GO:0006325;GO:0071514		GO:0000122;GO:0006357;GO:0045944								TFclass_human.present			dbTF	51742	HGNC:15550	ARID4B
214855	Arid5a	10090		GO:0003714			GO:0030331;GO:0046965;GO:0046966;GO:0050681					GO:0000122;GO:0003714;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	10865	HGNC:17361	ARID5A
10865	ARID5A	9606		GO:0003714			GO:0008134;GO:0030331;GO:0046965;GO:0046966;GO:0050681					GO:0000122;GO:0003714;GO:0006357;GO:0045892;GO:0045944	lambert_2018							TFclass_human.present			dbTF	10865	HGNC:17361	ARID5A
71371	Arid5b	10090		GO:0003713								GO:0000122;GO:0003713;GO:0006357;GO:0045893									TFclass_mouse.present		dbTF	84159	HGNC:17362	ARID5B
84159	ARID5B	9606		GO:0003713								GO:0000122;GO:0003713;GO:0006357;GO:0045892;GO:0045893;GO:0051091	lambert_2018							TFclass_human.present			dbTF	84159	HGNC:17362	ARID5B
405	ARNT	9606	GO:0000981;GO:0003700;GO:0004879				GO:0017162;GO:0061629					GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	405	HGNC:700	ARNT
25243	Arnt2	10116	GO:0000981;GO:0001228;GO:0003700				GO:0017162					GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045944										TFclass_rat.present	dbTF	9915	HGNC:16876	ARNT2
9915	ARNT2	9606	GO:0000981;GO:0001228;GO:0003700				GO:0017162					GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	9915	HGNC:16876	ARNT2
11863	Arnt	10090	GO:0000981;GO:0003700;GO:0004879				GO:0017162;GO:0061629					GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	405;9915	HGNC:700;HGNC:16876	ARNT;ARNT2
11864	Arnt2	10090	GO:0000981;GO:0001228;GO:0003700				GO:0017162					GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	405;9915	HGNC:700;HGNC:16876	ARNT;ARNT2
25242	Arnt	10116	GO:0000981;GO:0003700;GO:0004879				GO:0017162;GO:0061629					GO:0000981;GO:0003700;GO:0004879;GO:0006355;GO:0006357;GO:0045893;GO:0045944										TFclass_rat.present	dbTF	405;51533	HGNC:700;HGNC:18458	ARNT;PHF7
170302	ARX	9606	GO:0000981;GO:0001227;GO:0001228									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	170302	HGNC:18060	ARX
11878	Arx	10090	GO:0000981;GO:0001227;GO:0001228									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	170302;158800	HGNC:18060;HGNC:29993	ARX;RHOXF1
17172	Ascl1	10090	GO:0000981;GO:0001227;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006357;GO:0045892;GO:0045944									TFclass_mouse.present		dbTF	429	HGNC:738	ASCL1
64186	Ascl1	10116	GO:0000981;GO:0001227;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006357;GO:0045892;GO:0045944										TFclass_rat.present	dbTF	429	HGNC:738	ASCL1
429	ASCL1	9606	GO:0000981;GO:0001227;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006357;GO:0045892;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	429	HGNC:738	ASCL1
17173	Ascl2	10090	GO:0000981;GO:0001227;GO:0001228;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	430	HGNC:739	ASCL2
430	ASCL2	9606	GO:0000981;GO:0001227;GO:0001228;GO:0003700				GO:0043425					GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	430	HGNC:739	ASCL2
121549	ASCL4	9606	GO:0000981;GO:0001227									GO:0000122;GO:0000981;GO:0001227;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	121549	HGNC:24311	ASCL4
55870	ASH1L	9606								GO:0006325;GO:0006338;GO:0042054;GO:0042800;GO:0046974;GO:0046975;GO:0140938;GO:0140947;GO:0140948;GO:0140955	GO:0042054;GO:0042800;GO:0046974;GO:0046975;GO:0140938;GO:0140947;GO:0140948;GO:0140955	GO:0006355;GO:0045944	lambert_2018		animal_tfdb_Homo_sapiens_cofactors								dbTF	55870	HGNC:19088	ASH1L
29417	Men1	10116	GO:0001216						GO:0070412	GO:0006325;GO:0006338;GO:0045815		GO:0000122;GO:0001216;GO:0006357;GO:0045892;GO:0045893;GO:0045944					animal_tfdb_Rattus_norvegicus_cofactors						dbTF	79058;4221	HGNC:13825;HGNC:7010	ASPSCR1;MEN1
11908	Atf1	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	466	HGNC:783	ATF1
315305	Atf1	10116																				TFclass_rat.present	dbTF	466	HGNC:783	ATF1
466	ATF1	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	466	HGNC:783	ATF1
11909	Atf2	10090	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629			GO:0010485;GO:0044013;GO:0045815	GO:0010485;GO:0044013	GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0051091									TFclass_mouse.present		dbTF	1386	HGNC:784	ATF2
1386	ATF2	9606	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629			GO:0004402;GO:0010485;GO:0044013;GO:0045815	GO:0004402;GO:0010485;GO:0044013	GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0051091	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	1386	HGNC:784	ATF2
81647	Atf2	10116	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629			GO:0010485;GO:0044013;GO:0045815	GO:0010485;GO:0044013	GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0051091										TFclass_rat.present	dbTF	1386;2766	HGNC:784;HGNC:4376	ATF2;GMPR
11910	Atf3	10090	GO:0000981;GO:0001227;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045944									TFclass_mouse.present		dbTF	467	HGNC:785	ATF3
25389	Atf3	10116	GO:0000981;GO:0001227;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045944										TFclass_rat.present	dbTF	467	HGNC:785	ATF3
467	ATF3	9606	GO:0000981;GO:0001227;GO:0001228;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	467	HGNC:785	ATF3
11911	Atf4	10090	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629;GO:0140296;GO:0140297					GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045943;GO:0045944									TFclass_mouse.present		dbTF	468	HGNC:786	ATF4
79255	Atf4	10116	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629;GO:0140296;GO:0140297					GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045943;GO:0045944										TFclass_rat.present	dbTF	468	HGNC:786	ATF4
468	ATF4	9606	GO:0000981;GO:0001228;GO:0003700				GO:0008140;GO:0061629;GO:0140296;GO:0140297					GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045943;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	468	HGNC:786	ATF4
107503	Atf5	10090	GO:0001228;GO:0003700									GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944									TFclass_mouse.present		dbTF	22809	HGNC:790	ATF5
282840	Atf5	10116	GO:0001228;GO:0003700									GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944										TFclass_rat.present	dbTF	22809	HGNC:790	ATF5
22809	ATF5	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	22809	HGNC:790	ATF5
226641	Atf6	10090	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	22926	HGNC:791	ATF6
22926	ATF6	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	22926	HGNC:791	ATF6
304962	Atf6	10116	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944										TFclass_rat.present	dbTF	22926;824	HGNC:791;HGNC:1479	ATF6;CAPN2
12915	Atf6b	10090	GO:0000981;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	1388	HGNC:2349	ATF6B
1388	ATF6B	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	1388	HGNC:2349	ATF6B
406169	Atf6b	10116																				TFclass_rat.present	dbTF	1388;4709	HGNC:2349;HGNC:7698	ATF6B;NDUFB3
11016	ATF7	9606	GO:0000981;GO:0003700				GO:0001223					GO:0000981;GO:0003700;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	11016	HGNC:792	ATF7
223922	Atf7	10090	GO:0000981;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	11016;114108587;8620	HGNC:792;HGNC:55073;HGNC:7901	ATF7;ATF7-NPFF;NPFF
234776	Atmin	10090	GO:0000981;GO:0001228									GO:0000981;GO:0001228;GO:0006357;GO:0045893;GO:0045944											dbTF	23300	HGNC:29034	ATMIN
23300	ATMIN	9606	GO:0000981;GO:0001228									GO:0000981;GO:0001228;GO:0006357;GO:0045893;GO:0045944	lambert_2018	Lovering_2021									dbTF	23300	HGNC:29034	ATMIN
11921	Atoh1	10090	GO:0000981;GO:0001228									GO:0000981;GO:0001228;GO:0045944									TFclass_mouse.present		dbTF	474	HGNC:797	ATOH1
500156	Atoh1	10116																				TFclass_rat.present	dbTF	474	HGNC:797	ATOH1
474	ATOH1	9606	GO:0000981;GO:0001228;GO:0003700									GO:0000981;GO:0001228;GO:0003700;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	474	HGNC:797	ATOH1
53404	Atoh7	10090	GO:0000981									GO:0000981;GO:0006355;GO:0006357;GO:0045944									TFclass_mouse.present		dbTF	220202	HGNC:13907	ATOH7
365564	Atoh7	10116																				TFclass_rat.present	dbTF	220202	HGNC:13907	ATOH7
220202	ATOH7	9606	GO:0000981									GO:0000981;GO:0006355;GO:0006357;GO:0045944	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	220202	HGNC:13907	ATOH7
71093	Atoh8	10090	GO:0003700				GO:0008134;GO:0140297					GO:0003700;GO:0045892;GO:0045893;GO:0045944;GO:1902895									TFclass_mouse.present		dbTF	84913	HGNC:24126	ATOH8
84913	ATOH8	9606	GO:0000981;GO:0003700				GO:0140297					GO:0000981;GO:0003700;GO:0045892;GO:0045893;GO:0045944;GO:1902895	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	84913	HGNC:24126	ATOH8
24817	Hnf1a	10116	GO:0000981;GO:0001228;GO:0003700				GO:0001221;GO:0001223			GO:0006338		GO:0000122;GO:0000981;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045893;GO:0045944;GO:0060261										TFclass_rat.present	dbTF	100526740;6927;26024	HGNC:38844;HGNC:11621;HGNC:22198	ATP5MF-PTCD1;HNF1A;PTCD1
498575	Hesx1	10116																				TFclass_rat.present	dbTF	10396;8820	HGNC:13531;HGNC:4877	ATP8A1;HESX1
501099	Srf	10116																				TFclass_rat.present	dbTF	26033;6722	HGNC:29063;HGNC:11291	ATRNL1;SRF
22589	Atrx	10090						GO:0042393		GO:0006325;GO:0006334;GO:0006338;GO:0031509;GO:0062072		GO:0045944				animal_tfdb_Mus_musculus_cofactors					TFclass_mouse.present		dbTF	546	HGNC:886	ATRX
246284	Atrx	10116						GO:0042393		GO:0006325;GO:0006334;GO:0006338;GO:0031509;GO:0062072		GO:0045944					animal_tfdb_Rattus_norvegicus_cofactors					TFclass_rat.present	dbTF	546	HGNC:886	ATRX
546	ATRX	9606						GO:0042393		GO:0006325;GO:0006334;GO:0006338;GO:0031509;GO:0062072		GO:0006355;GO:0045944			animal_tfdb_Homo_sapiens_cofactors					TFclass_human.present			dbTF	546	HGNC:886	ATRX
311071	Zeb2	10116																				TFclass_rat.present	dbTF	148789;9839	HGNC:28596;HGNC:14881	B3GALNT2;ZEB2
12013	Bach1	10090	GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0098531									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0098531									TFclass_mouse.present		dbTF	571	HGNC:935	BACH1
304127	Bach1	10116																				TFclass_rat.present	dbTF	571	HGNC:935	BACH1
571	BACH1	9606	GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0098531									GO:0000122;GO:0000981;GO:0001227;GO:0001228;GO:0003700;GO:0006355;GO:0006357;GO:0045944;GO:0098531	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	571	HGNC:935	BACH1
12014	Bach2	10090	GO:0000981;GO:0001227;GO:0003700									GO:0000122;GO:0000981;GO:0001227;GO:0003700;GO:0006355;GO:0006357											dbTF	60468	HGNC:14078	BACH2
